;Objekt;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000
Hrady;Hrad Bouzov;111 668;111 601;121 532;105 519;104 870;91 341;100 743;93 589;98 863;107 415;100 401;110 904;110 493;102 260;83 540;102 807;118 101;175 112;129 830
;Hrad Helfštın;77 378;86 341;93 244;89 253;90 521;75 762;79 440;90 524;73 549;94 687;100 722;107 702;94 203;96 357;95 500;102 923;99 385;89 607;99 963
;Hrad Šternberk;56 712;47 095;60 689;55 078;53 652;46 327;47 101;45 854;41 001;57 984;38 076;36 674;36 310;20 583;16 282;16 316;17 806;17 754;20 341
Zámky;Zámek Èechy pod Kosíøem;44 278;46 966;33 573;;;;;4 918;4 665;5 857;5 091;5 541;5 169;;;;;;
;Zámek Námìš na Hané;27 123;28 928;28 855;26 004;24 212;25 018;27 097;25 672;29 365;29 102;29 109;29 215;24 063;26 067;22 605;20 695;20 120;17 500;16 500
;Zámek Plumlov;25 853;25 584;19 897;15 300;16 056;15 260;11 863;10 000;10 000;5 600;20 000;11 000;5 500;5 990;;;;;
;Zámek Tovaèov;22 954;21 948;23 030;21 353;15 149;21 073;23 959;29 697;17 188;27 365;28 860;20 170;20 750;23 187;16 882;21 500;23 000;18 000;16 500
;Zámek Konice;5 276;;;;;;;;;;;;;;;;;;
;Zámek Úsov;41 228;39 546;33 864;31 957;36 960;20 603;19 784;24 680;25 266;43 781;36 256;35 165;32 907;91 135;45 167;;41 966;42 918;46 250
;Zámek Jánskı Vrch;26 598;30 034;24 673;23 703;27 515;26 480;28 022;32 329;40 562;27 109;33 312;32 955;33 953;31 012;31 177;32 940;37 081;40 771;35 960
;Zámek Velké Losiny;35 476;34 896;33 271;32 821;31 610;28 407;25 806;29 363;30 763;30 645;31 072;35 639;35 841;39 124;41 982;42 813;43 735;46 213;46 715
Muzea;Muzeum moderního umìní Olomouc (Muzeum umìní);51 973;66 375;52 370;72 839;92 891;76 920;75 300;90 721;65 076;114 112;129 433;109 508;61 256;105 640;126 900;127 527;129 421;143 339;154 409
;Arcidiecézní muzeum (Muzeum umìní);48 847;49 935;65 783;77 803;76 306;64 583;80 147;86 172;47 076;88 109;75 243;115 415;102 689;;;;;;
;Veteran Arena;0;21 030;19 250;23 593;20 120;19 121;20 363;23 538;20 427;;;;;;;;;;
;Letecké muzeum;x;x;x;x;4 500;4 673;;4 500;10 100;;;;;;;;;;
;Vlastivìdné muzeum Olomouc;78 880;85 391;83 387;104 665;133 171;106 802;91 316;32 654;46 455;26 622;39 609;48 345;56 857;55 292;32 431;40 278;22 469;54 256;48 228
;Muzeum Komenského Pøerov - zámek;20 271;18 135;24 333;20 291;20 223;25 089;26 460;22 218;18 627;23 094;15 198;12 141;10 326;23 186;11 667;12 515;9 706;13 318;15 118
;Mìstské muzeum a galerie Hranice;21 026;20 213;18 192;12 004;3 529;4 178;3 056;3 332;3 665;3 682;3 665;4 366;3 852;4 322;5 043;3 509;5 392;3 492;3 129
;Muzeum Litovel;6 311;5 505;6 694;3 565;3 477;4 481;6 845;3 094;3 164;3 514;5 400;5 128;4 700;5 000;;;;;
;Muzeum harmonik;1 120;1 050;916;849;721;700;550;250;;;;;;;;;;;
;Muzeum a Galerie v Prostìjovì;16 460;21 681;29 505;25 969;19 224;16 512;13 382;14 790;11 054;13 774;18 573;22 821;24 678;17 959;16 628;14 487;14 792;18 692;18 839
;Muzeum Olomouckıch tvarùkù – Loštice;24 411;26 655;26 855;28 022;19 378;11 395;12 724;13 363;10 534;7 543;5 817;7 166;5 758;6 150;5 490;6 145;13 326;4 086;
;Muzeum veteránù Slatinice;x;x;4 006;3 691;1 939;1 520;;1 350;1 986;1 564;;;;;;;;;
;Hasièské muzeum R. A. Smékala Èechy p. Kosíøem;5 756;5 336;6 057;4 113;4 879;3 839;4 685;4 792;5 747;5 489;3 401;3 349;3 133;3 554;3 391;3 010;3 883;2 991;1 968
;Památník A. Kašpara v Lošticích;1 540;1 857;2 137;3 490;2 399;2 024;2 310;1 756;2 807;3 691;2 911;1 781;2 053;1 980;;;;;
;Muzeum Mohelnice;3 882;4 303;5 385;5 981;4 610;5 037;;2 474;3 253;2 562;2 092;2 150;3 196;2 314;17 028;;16 120;15 040;15 348
;Památník lovcù mamutù;1 873;1 749;2 478;2 745;1 882;2 516;2 457;2 629;2 491;2 952;1 994;2 385;;;;;;;
;Èerná vì Drahanovice;1 529;2 311;2 127;1 598;1 725;1 459;1 499;1 367;1 723;1 918;1 932;2 243;2 214;1 933;;;;;
;Galerie U Kalicha - Drahanovice;2 180;2 003;1 241;;;;;;;;;;;;;;;;
;Expozice VMO ve Vodní brance Unièov;783;832;x;456;769;722;969;1 039;519;298;118;900;500;498;;;;;
;Muzeum koèárù;21 866;21 353;14 900;14 200;12 500;12 327;12 039;11 490;10 000;5 500;;;;;;;;;
;Muzeum vìzeòství;7 148;6 842;x;7 062;7 191;7 254;7 027;7 069;2 270;;;;;;;;;;
;Muzeum baroka;x;x;x;4 664;5 053;5 251;5 316;5 211;2 195;;;;;;;;;;
;Galerie Konírna Lipník nad Beèvou;4 759;5 763;9 386;7 546;7 995;11 169;12 736;11 908;3 555;;;;;;;;;;
;Expozice èasu Šternberk;9 883;x;13 021;10 044;11 979;12 572;13 362;4 159;;;;;;;;;;;
;Hanácké muzeum v Cholinì;1 030;1 104;998;927;965;987;936;1 540;802;;;;;;;;;;
;Vèelaøské muzeum, Hranice;x;50;100;532;654;345;415;447;;;;;;;;;;;
;VM Jesenicka - Rodnı dùm V.Priessnitze;1 584;1 979;1 942;2 217;2 175;2 357;3 000;3 500;2 784;3 800;3 698;5 318;4 723;4 498;4 071;3 935;4 057;4 443;4 376
;VM Jesenicka - Vodní tvrz;19 113;20 388;20 754;26 031;23 666;22 885;27 000;23 500;23 596;14 200;26 937;19 737;10 855;15 598;8 769;10 984;9 789;9 307;8 424
;Vlastivìdné muzeum Šumperk;34 067;37 608;34 500;32 860;26 653;23 704;20 005;22 340;23 299;24 418;14 398;18 303;16 130;17 475;16 395;18 205;25 000;24 635;24 953
;Klášterní kostel Šumperk;3 502;3 344;3 067;2 972;3 032;;1 011;5 534;5 714;4 237;3 571;3 945;5 691;12 669;;;;;
;Expozice èarodìjnické procesy Šumperk;6 910;7 326;6 246;7 089;5 549;6 085;5 763;6 104;5 332;;;;;;;;;;
;Muzeum Zábøeh;3 866;3 482;3 743;6 265;6 170;5 281;4 926;3 165;4 585;4 854;4 340;4 118;5 125;2062;;;;;
;Mìstské muzeum Zlaté Hory;2 778;2 251;2 923;2 574;3 157;2 856;3 933;3 484;3 951;4 583;5 340;5 146;5 675;7 758;;;;;
;Veteránmuzeum Èeská Ves;x;x;x;3 270;3 115;3 020;2 850;3 052;;2 891;3 079;2 500;2 319;7 500;;;;;
;Muzeum Johanna Schrotha;2 067;1 942;2 130;953;738;439;363;;500;350;400;200;;;;;;;
;Vlastivìdné muzeum ve Starém Mìstì – stálá expozice;297;x;247;x;800;;;;;;;;;;;;;;
;Vojenské muzeum Staré Mìsto;805;809;699;800;1 000;;1 000;;;;;;;;;;;;
;"Zemìdìlskı skanzen ""U Havlíèkù""";x;x;x;x;10 000;10 000;10 000;10 000;10 000;;;;;;;;;;
;Pivovarské muzeum Hanušovice;4 890;5 472;4 646;3 922;;;1 986;;;;;;;;;;;;
;Muzeum silnic;4 096;4 557;5 091;3 152;5 740;4 194;2 325;1 649;;;;;;;;;;;
;Arcibiskupskı palác;16 825;16 027;17 697;16 171;18 548;19 880;17 449;17 107;;;;;;;;;;;
Kult. a tech. památky;Soubor staveb lidové architektury v Pøíkazích;4 863;x;5 613;4 740;6 184;4 190;5 328;3 291;3 280;3 912;3 881;3 125;3 600;3 900;2 707;3 920;2 741;3 017;2 212
;Pevnost Poznání;86 841;85 000;85 000;;;;;;;;;;;;;;;;
;Korunní pevnùstka a muzeum barokní prachárny;59 670;56 230;41 560;36 270;20 283;20 611;19 560;;;;;;;;;;;;
;Fort Radíkov;x;x;2 923;3 279;x;1 766;1 685;809;1 122;;;;;;;;;;
;Fort Køelov;x;x;x;2 115;x;1 784;1 975;1 650;;;;;;;;;;;
;Fort XIII Nová Ulice;6 459;7 279;6 117;6 611;;;;;;;;;;;;;;;
;Fort XXII Èernovír;x;x;x;x;x;21 803;;;;;;;;;;;;;
;Radnièní vì - Litovel;3 385;3 538;2 346;2 393;457;949;642;444;;;;;;;;;;;
;Hvìzdárna v Prostìjovì (Muzeum a Galerie v Prostìjovì);12 740;13 608;15 351;13 147;12 918;13 957;18 239;13 861;16 590;17 353;15 647;17 991;13 952;15 524;15 045;17 883;15 866;17 305;16 533
;Vyhlídková vì u chrámu sv. Moøice;12 000;12 000;12 000;12 000;13 000;13 000;13 000;11 500;10 000;11 500;12 000;10 000;8 500;7 500;7 300;7 000;7 500;7 200;7 000
;Vìtrnı mlın Skalièka;x;x;x;x;x;x;281;327;;;;;;;;;;;
;Zahradní eleznice, Støíov;4 767;4 108;5 003;3 643;3 998;3 959;3 886;4 463;;;;;;;;;;;
;Barokní sıpka Ludéøov;1 256;1 156;1 369;775;1 374;590;103;106;;;;;;;;;;;
;Vì staré radnice, Hranice;464;663;639;691;742;467;825;942;762;1 288;410;;;;;;;;
;Ruèní papírna a Muzeum papíru – Velké Losiny;56 916;59 565;58 888;50 770;51 061;45 112;49 300;50 978;50 000;49 000;50 203;51 450;49 259;47 654;48 719;45 059;47 770;43 733;44 270
;Rozhledna Kaiser Franz Josef Warte na Biskupské kupì ;21 784;24 520;30 616;15 495;28 282;24 272;29 136;28 714;22 546;33 477;34 572;34 394;;;;;;;
;Vyhlídka z radnièní vìe ve Starém Mìstì ;394;x;369;421;300;;;;;;;;;;;;;;
;Radnièní vì - Šumperk;34;2 416;3 903;4 414;4 061;4 624;;;;;;;;;;;;;
;Pøeèerpávací vodní elektrárna Dlouhé Stránì;33 090;38 790;31 542;30 498;37 225;36 530;40 023;47 724;48 633;54 064;46 221;17 862;60 976;54 275;51 933;44 282;43 487;41 375;
;Poštovní štola - Zlaté Hory;3 498;1 883;1 970;3 673;;;;;;;;;;;;;;;
;Zlatokopeckı skanzen;16 004;17 219;19 454;16 061;16 332;15 001;17 951;15 657;14 799;14 902;15 933;16 525;18 368;16 217;;;;;
Jeskynì;Javoøièské jeskynì;43 530;45 643;43 875;31 097;32 573;33 320;36 180;38 109;40 737;43 868;43 476;49 799;45 391;45 703;46 782;50 000;52 464;54 018;57 657
;Mladeèské jeskynì;21 854;20 016;18 658;25 416;20 805;17 314;21 227;14 914;15 307;18 739;19 239;21 721;20 429;20 070;21 720;20 308;19 666;20 916;17 345
;Zbrašovské aragonitové jeskynì;48 538;50 818;48 629;48 044;45 121;44 011;45 313;46 286;42 845;48 997;49 005;62 812;63 340;55 595;uzavøeny;uzavøeny;52 195;46 730;53 078
;Jeskynì Na Pomezí;50 399;52 379;49 600;45 221;43 469;42 977;44 367;43 244;46 550;48 333;55 925;60 461;59 525;41 280;51 748;61 790;68 271;68 434;64 301
;Jeskynì Na Špièáku;13 226;15 850;15 267;14 482;14 434;13 217;13 788;13 146;13 557;15 712;17 809;16 323;17 230;23 907;16 780;15 000;15 500;16 000;21 000
Pøíroda;Zoo Olomouc;357 221;339 162;339 506;325 733;356 909;321 162;365 897;373 199;368 536;376 005;356 311;390 054;360 333;397 052;374 508;407 901;407 586;380 000;358 051
;Sbírkové skleníky,botanická zahrada a rozárium;61 946;75 642;72 946;13 849;19 516;23 471;21 797;20 500;17 246;12 416;13 192;15 843;20 556;71 167;16 196;23 000;25 000;22 300;21 800
;Pøírodní ráj Horizont Bystrovany;x;x;x;x;x;x;x;91 000;90 905;127 433;162 820;150 175;139 681;120 000;;70 000;30 000;15 000;5 000
;Arboretum Bílá Lhota;13 116;12 146;12 412;11 330;11 543;8 837;10 579;9 544;9 350;10 474;9 769;12 193;9 778;10 419;10 809;8 878;9 101;8 818;11 422
;Informaèní centrum Hranické propasti;21 347;;;;;;;;;;;;;;;;;;
;Ornitologická stanice (Muzeum Komenského Pøerov);7 646;8 425;8 677;9 285;6 522;5 524;6 668;6 842;5 395;6 013;6 249;5 423;4 931;2 303;1 683;1 541;1 253;1 081;2 057
;Rychlebské stezky;65 000;65 000;65 000;60 000;30 000;25 000;15 000;10 000;5 000;2 500;;;;;;;;;
;NS Rejvíz;44 290;34 120;35 965;46 160;40 515;36 595;30 930;24 150;23 500;22 050;26 405;24 385;;;;;;;
ostatní;Aquapark Olomouc;215 063;211 659;193 423;203 645;196 614;185 681;180 297;220 716;191 763;147 916;;;;;;;;;
;Vıstavy na vıstavišti Flora;371 307;359 367;430 120;480 436;224 680;182 412;169 124;219 769;225 228;244 058;250 156;200 506;222 550;189 994;181 886;196 000;197 000;162 000;193 426
;Mìstská památková rezervace Lipník nad Beèvou;2 596;2 377;2 324;2 695;2 936;2 126;1 909;2 361;1 925;3 157;2 710;2 267;;;;;;;
;Mìstská památková rezervace Hranice;379;;;;;;;;;;;;;;;;;;
;MPR Olomouc;253 646;289 343;286 486;281 156;334 884;284 776;281 560;241 547;185 853;252 759;269 477;299 111;249 858;239 599;182 827;174 805;184 390;227 095;231 437
;Šumperk - prohlídkové trasy mìstem;710;784;596;658;738;851;1 011;762;1 109;;;;;;;;;;
;Celkem (bez øádku MPR Olomouc);2 569 205;2 568 960;2 627 095;2 470 960;2 211 560;2 003 561;2 025 341;2 152 932;1 991 194;2 106 469;1 981 981;1 985 239;1 849 318;1 853 663;1 448 764;1 530 151;1 650 549;1 631 401;1 582 003
;Meziroèní srovnání;245;-58 135;156 135;259 400;207 999;-21 780;-127 591;161 738;-115 275;124 488;-3 258;135 921;-4 345;404 899;-81 387;-120 398;19 148;49 398;
;Meziroèní srovnání (%);100%;98%;106%;112%;110%;99%;94%;108%;95%;106%;100%;107%;100%;128%;95%;93%;101%;103%;
;;;;;;;;;;;;;;;;;;;;
;x - subjekt údaj neposkytl;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
